BehaviorSpace results (NetLogo 6.1.0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
assignment1_netlogo_final.nlogo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
experiment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/21/2019 21:31:31:580 +0200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-42;42;-42;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[run number];1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40
simulation-time;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150
angle-extra;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45
vision;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
speed;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6
seed;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45
vision-angle;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180
minimum-separation;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
agent-1-percent;0;0;0;0;0;0;0;0;0;0;20;20;20;20;20;20;20;20;20;20;80;80;80;80;80;80;80;80;80;80;100;100;100;100;100;100;100;100;100;100
total-agents;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
[reporter];conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict
[final];70;74;22;33;120;64;70;69;68;82;79;57;60;148;84;41;109;71;191;68;44;77;76;46;55;162;48;58;72;153;54;45;47;36;57;61;45;51;59;58
[min];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
[max];70;74;22;33;120;64;70;69;68;82;79;57;60;148;84;41;109;71;191;68;44;77;76;46;55;162;48;58;72;153;54;45;47;36;57;61;45;51;59;58
[mean];4.380.132.450.331.120;45.264.900.662.251.600;11.013.245.033.112.500;14.556.291.390.728.400;6.731.788.079.470.190;4.175.496.688.741.720;4.021.854.304.635.760;3.005.298.013.245.030;42.145.695.364.238.400;5.370.198.675.496.680;5.364.238.410.596.020;28.410.596.026.490.000;38.311.258.278.145.600;9.360.264.900.662.250;53.980.132.450.331.100;15.158.940.397.350.900;8.380.132.450.331.120;4.523.841.059.602.640;7.210.596.026.490.060;3.421.854.304.635.760;24.172.185.430.463.500;4.256.953.642.384.100;4.558.278.145.695.360;29.278.145.695.364.200;25.629.139.072.847.600;10.830.463.576.158.900;3.500.662.251.655.620;34.675.496.688.741.700;4.542.384.105.960.260;42.847.682.119.205.200;28.728.476.821.192.000;2.691.390.728.476.820;3.147.682.119.205.290;20.655.629.139.072.800;3.894.039.735.099.330;4.198.675.496.688.740;26.920.529.801.324.500;31.728.476.821.192.000;35.562.913.907.284.700;3.833.774.834.437.080
[steps];150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[all run data];conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;8;6;2;2;5;4;3;2;2;10;7;1;1;1;8;0;13;4;2;6;4;7;5;5;2;2;9;7;12;5;6;4;5;2;6;8;4;4;9;7
;15;12;2;2;11;8;5;5;4;17;13;3;2;3;15;0;24;9;4;13;9;13;11;8;5;5;15;12;19;8;12;8;9;4;12;16;8;8;16;15
;18;16;2;2;16;10;6;7;6;21;18;3;2;5;20;0;32;12;5;13;9;14;16;10;5;7;19;15;23;9;13;10;12;5;17;20;10;12;18;17
;19;18;2;2;20;10;7;7;6;22;20;6;2;7;20;1;38;14;5;14;9;14;19;11;5;7;19;15;26;9;13;11;13;5;19;21;10;13;20;19
;19;19;2;2;22;10;7;7;6;22;20;7;2;9;21;1;42;14;5;16;9;14;21;12;5;7;19;15;26;9;13;12;13;5;20;21;10;13;21;21
;19;19;2;2;23;10;7;7;6;22;20;7;2;11;21;1;44;14;5;19;9;14;22;12;5;7;20;15;26;9;14;13;13;5;20;25;10;13;21;22
;19;19;2;2;23;10;7;7;6;22;20;7;3;13;21;1;46;14;5;19;9;14;24;12;5;7;20;15;26;9;14;13;13;5;20;25;10;13;22;22
;19;19;2;2;23;12;7;8;6;22;20;9;4;15;21;1;48;14;5;19;9;14;26;12;6;7;20;15;26;9;14;13;13;6;21;25;11;13;22;23
;19;19;2;2;23;14;7;8;6;22;20;13;4;17;21;1;48;14;5;19;9;14;28;13;6;7;20;15;26;9;14;13;13;8;23;25;12;13;22;23
;19;19;2;2;23;16;7;8;6;22;20;15;4;19;21;1;48;14;7;19;9;16;31;13;6;7;21;15;26;9;14;13;13;8;23;25;13;14;22;23
;19;19;2;2;23;18;7;8;6;22;20;15;4;21;23;1;50;14;9;19;9;16;31;13;6;8;21;15;26;9;14;13;13;8;24;25;14;14;22;23
;19;19;2;2;23;20;7;8;6;22;20;15;4;23;25;1;51;14;11;19;9;17;31;13;6;9;21;15;27;9;15;13;14;9;24;25;14;14;22;23
;19;19;2;2;23;20;7;8;6;22;20;15;4;25;27;1;51;14;13;19;9;17;31;13;6;9;21;15;28;9;15;14;16;9;24;25;14;14;22;23
;19;19;2;2;23;20;7;8;6;22;20;15;4;27;27;1;51;15;15;19;9;17;31;13;6;9;21;16;28;9;15;14;17;9;24;25;14;16;22;23
;19;19;2;2;23;20;7;8;6;22;22;15;4;29;27;1;51;16;15;19;9;18;31;13;8;9;21;16;28;9;15;14;18;9;24;25;15;17;22;24
;19;19;2;2;23;20;7;8;6;22;22;15;4;31;27;1;51;16;15;19;9;18;31;13;8;9;21;17;28;9;15;14;18;9;24;25;16;17;22;24
;20;21;2;4;24;20;7;8;6;22;23;15;4;33;27;1;51;16;15;19;9;18;31;13;9;9;21;17;28;9;15;15;18;9;24;25;16;17;22;24
;22;23;2;6;24;20;7;8;6;22;23;15;5;35;27;1;51;16;15;19;9;21;31;13;9;9;21;17;28;9;15;16;19;9;24;26;16;17;22;24
;24;25;2;6;24;20;7;8;6;23;23;15;7;37;27;1;52;16;15;20;9;21;31;13;9;9;21;17;29;9;15;16;20;9;24;26;16;17;22;24
;24;27;2;6;24;20;8;8;6;24;23;15;9;39;27;1;54;17;15;21;9;21;31;14;9;9;21;17;30;9;15;16;20;10;24;26;16;17;22;24
